idx	name	http_code	check_s	speed_s	speed_bps
201	seede-011|CF电信优选	204	0.428338	2.946035	355927
202	seede-012|CF电信优选	204	0.468308	2.735604	383306
203	seede-013|CF电信优选	204	0.525471	2.264587	463031
204	seede-014|CF电信优选	204	0.478670	2.130791	492106
205	seede-015|CF电信优选	204	0.436879	2.920957	358983
206	seede-016|CF电信优选	204	0.529265	2.089210	501900
207	seede-017|CF电信优选	204	0.433104	3.047819	344041
208	seede-018|CF电信优选	204	0.529948	2.085972	502679
209	seede-019|CF电信优选	204	0.455934	2.135097	491113
210	seede-020|CF电信优选	204	0.434664	2.122576	494011
211	seede-021|CF电信优选	204	0.426970	2.314556	453035
212	seede-022|CF电信优选	204	0.322763	2.197054	477264
213	seede-023|CF电信优选	204	0.546367	2.090726	501536
214	seede-024|CF电信优选	204	0.537282	2.215709	473246
215	seede-025|CF电信优选	204	0.352528	2.912099	360075
216	seede-026|CF电信优选	204	0.582440	2.018230	519552
217	seede-027|CF电信优选	204	0.331794	2.530607	414357
218	seede-028|CF电信优选	204	0.325669	2.123828	493719
219	seede-029|CF电信优选	204	0.431063	2.214141	473581
220	seede-030|CF电信优选	204	0.439870	1.915258	547485
221	seede-031|CF电信优选	204	0.529242	2.176808	481703
222	seede-032|CF电信优选	204	0.448185	2.235987	468954
223	seedf-001|CF电信优选	204	0.436845		0
224	seedf-002|CF电信优选	204	0.447723	2.178877	481246
225	seedf-003|CF电信优选	204	0.363045	6.010807	43570
226	seedf-004|CF电信优选	204	0.445542	2.116031	495539
227	seedf-005|CF电信优选	204	0.558000	2.232722	469640
228	seedf-006|CF电信优选	204	0.342807	2.157908	485922
229	seedf-007|CF电信优选	204	0.451066	2.897569	361881
230	seedf-008|CF电信优选	204	0.384004	2.996498	349933
231	seedf-009|CF电信优选	204	0.444639	2.042944	513267
232	seedf-010|CF电信优选	204	0.330948	1.999408	524443
233	seedf-011|CF电信优选	204	0.425857	2.115595	495641
234	seedf-012|CF电信优选	000	4.011237		0
235	seedf-013|CF电信优选	204	0.438752	2.987074	351037
236	seedf-014|CF电信优选	204	0.442172	2.173523	482431
237	seedf-015|CF电信优选	204	0.444692	2.009152	521899
238	seedf-016|CF电信优选	204	0.426979		0
239	seedf-017|CF电信优选	204	0.540064	2.273836	461148
240	seedf-018|CF电信优选	204	0.552008	2.418854	433501
241	seedf-019|CF电信优选	204	0.428243	3.178394	329907
242	seedf-020|CF电信优选	204	0.362627	3.049663	343833
243	seedf-021|CF电信优选	204	0.355717	2.117571	495178
244	seedf-022|CF电信优选	204	0.420926		0
245	seedf-023|CF电信优选	204	0.439623	2.408511	435362
246	seedf-024|CF电信优选	204	0.554493	2.328154	450389
247	seedf-025|CF电信优选	204	0.442144		0
248	seedf-026|CF电信优选	204	0.374295	3.414897	307059
249	seedf-027|CF电信优选	204	0.564861	2.117442	495208
250	seedf-028|CF电信优选	204	0.336211	2.195265	477653
251	seedf-029|CF电信优选	204	0.449175	3.110590	337098
252	seedf-030|CF电信优选	204	0.372289	2.992154	350441
